time,sent_src
song,从以重刑，是导其为非而陷之于死，岂为政欤！
han,常以为吾父兄弟四人，当传至季子。
han,卢绾闻高祖崩，遂亡入匈奴。
han,子年少，匈奴乃立其季父乌维单于弟右贤王呴犁湖为单于。
han,襄公元年，始为太子时，尝与无知斗，及立，绌无知秩服，无知怨。
han,王曰：何如？
han,其国有德，其失次，有应见娄。
song,司州民十二夫调一，吏以供公私力役。
han,汤崩，太子太丁未立而卒，于是乃立太丁之弟外丙，是为帝外丙。
han,元年，吴王阖庐闻允常死，乃兴师伐越。
han,陵少文，任气，好直言。
han,所诛灭淮阳甚多，及死，仇家欲烧其尸，自温舒等以恶为治，而郡守、都尉、诸侯二千石欲为治者，其治大抵尽放温舒，而吏民益轻犯法，盗贼滋起。
han,子卿曰：吾尝见一子于路，殆君之子也。
song,今袁公已死，义不求生。
han,行远而觉，重耳大怒，引戈欲杀咎犯。
song,三月，甲辰，魏主谒永固陵。
pre-qin,孟子曰：人有恒言，皆曰天下国家。
han,子闾曰：王病甚，臣所以许王，以广王意也。
han,且君老矣，旦暮之人，曾不能待而欲弑之！
han,山上举火，下悉应之。
song,壬辰，遣使祀周文王于丰，武王于镐。
han,当今之时，山东之建国莫彊于赵。
han,越用大夫种之谋，禽劲吴，霸中国，而卒诛其身。
han,十五年，败赵北蔺。
han,于是缪公使人厚币迎蹇叔，以为上大夫。
han,忽曰：郑小齐大，非我敌。
han,中谢对曰：凡人之思故，在其病也。
han,长城以内，冠带之室，朕亦制之。
han,是时赵人徐乐、齐人严安俱上书言世务，各一事。
han,吕尚亦曰吾闻西伯贤，又善养老，盍往焉。
han,齐襄公与鲁君饮，醉之，使力士彭生抱上鲁君车，因拉杀鲁桓公，桓公下车则死矣。
song,丙寅，诏梁国选诸要职，悉依天朝之制。
song,子伦性英果。
song,遣朱虚侯章以诛诸吕事告齐王，令罢兵。
han,方诛商鞅，疾辩士，弗用。
han,行千里攻之，难。
han,太后欲王吕氏，先立孝惠后宫子彊为淮阳王，子不疑为常山王，子山为襄城侯，子朝为轵侯，子武为壶关侯。
song,东西万余里，称制与中国侔。
pre-qin,孟子之滕，馆于上宫。
song,一女不织，或受之寒。
han,更食汝阴，益食千户。
han,谒居病死，事连其弟，弟系导官。
han,政由五伯，诸侯恣行，淫侈不轨，贼臣絪子滋起矣。
han,天子于是幸缑氏城，拜卿为中大夫。
song,柔然伏跋可汗，壮健善用兵，是岁，西击高车，大破之，执其王弥俄突，系其足于驽马，顿曳杀之，漆其头为饮器。
han,是时介子推从，在船中，乃笑曰：天实开公子，而子犯以为己功而要市于君，固足羞也。
han,自新，嘉与士大夫更始，赐民百户牛一酒十石，加年八十孤寡布帛二匹。
han,东周君与诸侯谋秦，秦使相国吕不韦诛之，尽入其国。
han,中衍人面鸟噣，降佐殷帝大戊，及周天子，皆有明德。
han,臣因而欲事齐君无知，蹇叔止臣，臣得脱齐难，遂之周。
pre-qin,则将应之曰：则可以杀之。
han,治陈皇后蛊狱，深竟党与。
han,十四年，更为元年。
han,益造苑马以广用，而宫室列观舆马益增脩矣。
song,魏恒、肆二州地震、山鸣，逾年不已，民覆压死伤甚众。
han,俗之所欲，因而予之；
han,凡出入东西各五，二百二十日，复与营室晨出东方。
han,临江王征诣中尉府对簿，临江王欲得刀笔为书谢上，而都禁吏不予。
han,建元元年，天子初即位，招贤良文学之士。
han,青圜小角，忧，有木事；
han,或曰：天道无亲，常与善人。
han,其后秦伐魏，置东郡，徙卫元君之支属于野王。
han,朔初入长安，至公车上书，凡用三千奏牍。
song,夫下之化上，疾于景响，举错不可以审也！
song,丁巳，殂于式干殿。
han,楚悼王素闻起贤，至则相楚。
han,洛阳东贾齐、鲁，南贾梁、楚。
song,至于度地居民，则清浊连甍，何其略也！
han,宣公二十一年，杀其太子御寇。
han,后十馀岁，胡实病甚，太子婴齐请归。
han,天子受之，更以他县偿之。
han,围为灵王，及身而弑；
han,夫纤啬筋力，治生之正道也，而富者必用奇胜。
han,今子幸而听解，乃夜去，不使人知，曰：且无用，待我去，令雒阳豪居其间，乃听之。
song,魏人弗许，使昶与上书，为兄弟之仪；
han,景帝中三年，以病免相。
han,于是有裨海环之，人民禽兽莫能相通者，如一区中者，乃为一州。
han,父客素知张耳，乃谓女曰：必欲求贤夫，从张耳。
song,朕宪章旧典，始班俸禄。
han,二曰参胡；
han,乃使使往先视之，在其家。
han,厘公十七年，周厉王出奔彘。
han,宣言曰：我见相如，必辱之。
song,景和、泰始之间，勋诚实重；
han,名闻海内，威震天下，农夫莫不辍耕释耒，褕衣甘食，若此，将军之所长也。
song,执岳，驰启以闻。
han,其西则唐中，数十里虎圈。
han,甘茂欲以魏取齐，公孙奭欲以韩取齐。
han,过居延，攻祁连山，得胡首虏三万馀人，裨小王以下七十馀人。
song,老夫处僻，马、牛、羊齿已长。
han,孝文帝即位二年，以武为代王，以参为太原王，以胜为梁王。
pre-qin,王曰：恶！
song,官至尚书左仆射，爵新平王；
song,寻阳既平，上使中书为诏谕殷琰，蔡兴宗曰：天下既定，是琰思过之日。
pre-qin,人能无以饥渴之害为心害，则不及人不为忧矣。
han,对曰：不如始彊。
han,故紫宫、房心、权衡、咸池、虚危列宿部星，此天之五官坐位也，为经，不移徙，大小有差，阔狭有常。
han,子将言于齐侯曰：群臣不能事鲁君，有异焉。
han,八年，魏文侯、韩武子、赵桓子始列为诸侯。
han,屈原既死之后，楚有宋玉、唐勒、景差之徒者，皆好辞而以赋见称；
han,天子既令设祠具，至东泰山，泰山卑小，不称其声，乃令祠官礼之，而不封禅焉。
song,陵等至东阳，文秀请降；
han,项羽曰：此沛公左司马曹无伤言之。
han,告楚曰：乘夏水而下江，五日而至郢。
song,翂曰：异哉王尹，何量翂之薄乎！
song,岂可以戎狄兼并，而遽亏典礼乎！
han,穷困，赁佣于齐，为酒人保。
han,吾党之小子狂简，斐然成章，不知所以裁之。
